0,0,0,0,0,
1,0,0,0,0,
2,8,0,0,0,
3,2,0,0,0,
4,4,0,1,0,
5,4,0,0,0,
6,3,0,0,0,
7,1,1,0,1,
8,4,4,1,0,
9,4,2,2,1,
10,5,2,0,0,
11,1,2,2,0,
12,3,3,1,0,
13,1,1,1,1,
14,5,6,1,0,
15,2,2,2,1,
16,9,1,4,3,
17,5,5,4,1,
18,16,4,8,4,
19,8,0,3,6,
20,18,4,4,22,
21,14,3,5,11,
22,5,5,6,8,
23,0,7,5,2,
24,1,5,6,5,
25,0,4,5,0,
26,0,5,6,5,
27,0,3,2,7,
28,3,5,5,3,
29,0,8,2,2,
30,1,1,1,1,
31,0,5,1,0,
32,1,2,1,4,
33,0,3,6,0,
34,0,0,1,1,
35,0,0,0,0,
36,1,0,1,0,
37,0,0,1,0,
38,0,0,0,0,
39,0,0,1,1,
40,0,0,0,0,
41,0,0,0,0,
42,0,0,0,0,
43,0,0,0,0,
44,0,0,0,0,
45,0,0,0,0,
46,0,0,0,0,
47,0,0,0,0,
48,0,0,0,0,
49,0,0,0,0,
50,0,0,0,0,
51,0,0,0,0,
52,0,0,0,0,
53,0,0,0,0,
54,0,0,0,0,
55,0,0,0,0,
56,0,0,0,0,
57,0,0,0,0,
58,0,0,0,0,
59,0,0,0,0,
60,0,0,0,0,
61,0,0,0,0,
62,0,0,0,0,
63,0,0,0,0,
64,0,0,0,0,
65,0,0,0,0,
66,0,0,0,0,
67,0,0,0,0,
68,0,0,0,0,
69,0,0,0,0,
70,0,0,0,0,
71,0,0,0,0,
72,0,0,0,0,
73,0,0,0,0,
74,0,0,0,0,
75,0,0,0,0,
76,0,0,0,0,
77,0,0,0,0,
78,0,0,0,0,
79,0,0,0,0,
80,0,0,0,0,
81,0,0,0,0,
82,0,0,0,0,
83,0,0,0,0,
84,0,0,0,0,
85,0,0,0,0,
86,0,0,0,0,
87,0,0,0,0,
88,0,0,0,0,
89,0,0,0,0,
90,0,0,0,0,
91,0,0,0,0,
92,0,0,0,0,
93,0,0,0,0,
94,0,0,0,0,
95,0,0,0,0,
96,0,0,0,0,
97,0,0,0,0,
98,0,0,0,0,
99,0,0,0,0,
